name,diameter,weight,red,green,blue
orange,2.96,86.76,172,85,2
orange,3.91,88.05,166,78,3
orange,4.42,95.17,156,81,2
orange,4.47,95.6,163,81,4
orange,4.48,95.76,161,72,9
orange,4.59,95.86,142,100,2
orange,4.64,97.94,156,85,2
orange,4.65,98.5,142,74,2
orange,4.68,100.2,159,90,16
orange,4.69,100.31,161,76,6
orange,4.73,101.33,148,88,2
orange,4.74,101.66,166,69,2
orange,4.75,101.8,166,98,13
orange,4.77,102.56,166,86,6
orange,4.78,103.06,170,82,2
orange,4.82,103.1,162,87,12
orange,4.85,103.44,166,78,5
orange,4.91,103.46,151,79,2
orange,4.97,104.01,168,79,22
orange,5.02,104.1,179,73,2
orange,5.02,104.19,162,79,2
orange,5.08,104.56,156,94,2
orange,5.1,104.7,169,86,2
orange,5.11,104.82,146,84,2
orange,5.15,104.98,154,87,6
orange,5.16,105.22,168,82,2
orange,5.22,105.42,162,79,2
orange,5.22,105.47,161,75,10
orange,5.24,105.6,153,90,2
orange,5.24,105.62,157,85,15
orange,5.25,105.68,155,94,6
orange,5.26,106.29,155,93,2
orange,5.3,106.43,171,82,2
orange,5.3,106.85,159,84,13
orange,5.3,106.9,162,93,2
orange,5.32,106.94,145,82,2
orange,5.34,106.94,173,75,3
orange,5.35,107.01,158,97,2
orange,5.36,107.3,164,86,4
orange,5.37,107.64,178,92,7
orange,5.37,107.77,177,76,2
orange,5.37,107.85,171,75,23
orange,5.38,108.16,163,93,8
orange,5.4,108.18,148,81,2
orange,5.43,108.54,157,98,2
orange,5.45,108.63,145,75,18
orange,5.47,108.69,162,90,2
orange,5.47,108.85,170,82,11
orange,5.48,108.93,165,67,8
orange,5.48,109.16,146,72,2
orange,5.48,109.32,167,88,4
orange,5.48,109.37,128,87,4
orange,5.49,109.49,177,80,2
orange,5.51,109.49,150,98,5
orange,5.51,109.52,165,88,7
orange,5.51,109.59,157,82,3
orange,5.52,110.36,140,65,5
orange,5.53,110.4,169,76,3
orange,5.53,110.42,150,87,2
orange,5.57,110.47,145,81,9
orange,5.57,110.75,159,83,2
orange,5.58,110.89,160,73,3
orange,5.59,110.9,168,75,19
orange,5.6,111.0,167,74,2
orange,5.6,111.1,171,72,2
orange,5.61,111.16,165,84,2
orange,5.61,111.29,158,69,8
orange,5.61,111.31,167,104,2
orange,5.63,111.53,161,74,2
orange,5.65,111.59,138,78,14
orange,5.65,111.66,155,70,2
orange,5.65,111.69,158,107,3
orange,5.65,111.83,154,98,10
orange,5.66,111.88,163,86,3
orange,5.66,111.94,164,94,2
orange,5.67,111.95,165,78,2
orange,5.67,112.1,150,85,6
orange,5.68,112.15,137,76,9
orange,5.69,112.41,164,81,8
orange,5.71,112.7,168,78,2
orange,5.71,112.73,151,82,2
orange,5.71,112.77,154,62,20
orange,5.71,113.01,156,91,2
orange,5.72,113.14,164,95,2
orange,5.72,113.23,141,85,2
orange,5.73,113.26,169,66,2
orange,5.73,113.46,163,89,18
orange,5.73,113.62,155,87,2
orange,5.73,113.63,151,86,2
orange,5.73,113.66,156,68,4
orange,5.74,113.79,149,68,2
orange,5.76,113.79,168,94,30
orange,5.76,113.94,146,78,8
orange,5.77,114.17,150,95,2
orange,5.77,114.18,142,101,9
orange,5.77,114.3,163,76,2
orange,5.79,114.31,150,90,2
orange,5.79,114.39,144,73,2
orange,5.8,114.44,139,105,2
orange,5.8,114.48,165,68,2
orange,5.8,114.58,142,93,2
orange,5.8,114.64,165,87,15
orange,5.8,114.87,143,92,2
orange,5.81,114.92,161,98,11
orange,5.83,114.96,173,75,12
orange,5.84,114.96,152,84,17
orange,5.84,114.97,160,87,2
orange,5.84,114.97,161,93,3
orange,5.85,115.02,158,70,9
orange,5.86,115.03,138,70,9
orange,5.86,115.04,147,74,2
orange,5.87,115.16,168,77,9
orange,5.87,115.18,160,83,2
orange,5.88,115.23,154,73,22
orange,5.89,115.24,153,74,5
orange,5.91,115.29,163,72,27
orange,5.91,115.37,153,84,2
orange,5.92,115.4,171,91,2
orange,5.93,115.46,155,93,2
orange,5.94,115.46,156,109,2
orange,5.94,115.55,144,82,14
orange,5.95,115.55,157,92,14
orange,5.95,115.59,180,80,2
orange,5.95,115.79,169,69,7
orange,5.96,115.82,154,78,2
orange,5.97,115.85,149,82,6
orange,5.98,115.89,156,84,2
orange,5.98,115.94,163,86,2
orange,5.99,116.21,157,97,5
orange,5.99,116.22,143,85,18
orange,5.99,116.27,166,81,11
orange,6.0,116.29,163,67,19
orange,6.0,116.32,163,88,15
orange,6.0,116.34,153,78,2
orange,6.01,116.35,169,72,2
orange,6.01,116.36,154,69,4
orange,6.02,116.4,160,70,8
orange,6.03,116.4,151,91,2
orange,6.03,116.41,158,73,2
orange,6.03,116.56,149,77,27
orange,6.04,116.56,151,76,6
orange,6.04,116.83,156,99,2
